utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210924	1	M21BEC36	W3(OH)	a20210924_00001_01_0001.sdf	Spectral range 17	LSB	1	1000MHzx1024	327.5	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_02_0001.sdf	Spectral range 17	LSB	2	1000MHzx1024	328.2998799349	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_03_0001.sdf	Spectral range 17	LSB	3	1000MHzx1024	328.999774878	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_04_0001.sdf	Spectral range 17	LSB	4	1000MHzx1024	329.799654813	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_05_0001.sdf	Spectral range 17	USB	5	1000MHzx1024	341.0979588941	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_06_0001.sdf	Spectral range 17	USB	6	1000MHzx1024	340.2980789592	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_07_0001.sdf	Spectral range 17	USB	7	1000MHzx1024	339.5981840161	No Line	No Line
20210924	1	M21BEC36	W3(OH)	a20210924_00001_08_0001.sdf	Spectral range 17	USB	8	1000MHzx1024	338.7983040811	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_01_0001.sdf	Spectral range 17	LSB	1	1000MHzx1024	327.5	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_02_0001.sdf	Spectral range 17	LSB	2	1000MHzx1024	328.2998799349	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_03_0001.sdf	Spectral range 17	LSB	3	1000MHzx1024	328.999774878	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_04_0001.sdf	Spectral range 17	LSB	4	1000MHzx1024	329.799654813	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_05_0001.sdf	Spectral range 17	USB	5	1000MHzx1024	341.0979588941	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_06_0001.sdf	Spectral range 17	USB	6	1000MHzx1024	340.2980789592	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_07_0001.sdf	Spectral range 17	USB	7	1000MHzx1024	339.5981840161	No Line	No Line
20210924	2	M21BEC36	W3(OH)	a20210924_00002_08_0001.sdf	Spectral range 17	USB	8	1000MHzx1024	338.7983040811	No Line	No Line
20210924	3	M21BEC36	W3(OH)	a20210924_00003_01_0001.sdf	Spectral range 23	LSB	1	1000MHzx1024	346.7	No Line	No Line
20210924	3	M21BEC36	W3(OH)	a20210924_00003_02_0001.sdf	Spectral range 23	LSB	2	1000MHzx1024	347.4998799349	No Line	No Line
20210924	3	M21BEC36	W3(OH)	a20210924_00003_03_0001.sdf	Spectral range 23	LSB	3	1000MHzx1024	348.199774878	No Line	No Line
20210924	3	M21BEC36	W3(OH)	a20210924_00003_04_0001.sdf	Spectral range 23	LSB	4	1000MHzx1024	348.999654813	No Line	No Line
20210924	3	M21BEC36	W3(OH)	a20210924_00003_05_0001.sdf	Spectral range 23	USB	5	1000MHzx1024	360.2979588941	No Line	No Line
