utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220321	1	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802840557	345.7959899	CO	3 - 2	0.131	a20220321_00001_01_0001.sdf
20220321	1	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802840557	355.7959899	No Line	No Line	0.131	a20220321_00001_02_0001.sdf
20220321	2	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802766893	345.7959899	CO	3 - 2	0.131	a20220321_00002_01_0001.sdf
20220321	2	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802766893	355.7959899	No Line	No Line	0.131	a20220321_00002_02_0001.sdf
20220321	3	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802664037	345.7959899	CO	3 - 2	0.139	a20220321_00003_01_0001.sdf
20220321	3	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802664037	355.7959899	No Line	No Line	0.139	a20220321_00003_02_0001.sdf
20220321	4	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802591631	345.7959899	CO	3 - 2	0.139	a20220321_00004_01_0001.sdf
20220321	4	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802591631	355.7959899	No Line	No Line	0.139	a20220321_00004_02_0001.sdf
20220321	5	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802520713	345.7959899	CO	3 - 2	0.129	a20220321_00005_01_0001.sdf
20220321	5	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802520713	355.7959899	No Line	No Line	0.129	a20220321_00005_02_0001.sdf
20220321	6	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7802446566	345.7959899	CO	3 - 2	0.129	a20220321_00006_01_0001.sdf
20220321	6	JCMTCAL	CRL618	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7802446566	355.7959899	No Line	No Line	0.129	a20220321_00006_02_0001.sdf
20220321	7	JCMTCAL	CRL618	CRL618 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.780582914	345.7959899	CO	3 - 2	0.124	a20220321_00007_01_0001.sdf
