utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220312	34	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8024534675	345.7959899	CO	3 - 2	0.145	a20220312_00034_01_0001.sdf
20220312	34	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8024534675	355.7959899	No Line	No Line	0.145	a20220312_00034_02_0001.sdf
20220312	35	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8024421094	345.7959899	CO	3 - 2	0.145	a20220312_00035_01_0001.sdf
20220312	35	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8024421094	355.7959899	No Line	No Line	0.145	a20220312_00035_02_0001.sdf
20220312	36	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8024317012	345.7959899	CO	3 - 2	0.137	a20220312_00036_01_0001.sdf
20220312	36	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8024317012	355.7959899	No Line	No Line	0.137	a20220312_00036_02_0001.sdf
20220312	37	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8024211334	345.7959899	CO	3 - 2	0.137	a20220312_00037_01_0001.sdf
20220312	37	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8024211334	355.7959899	No Line	No Line	0.137	a20220312_00037_02_0001.sdf
20220312	38	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8024096327	345.7959899	CO	3 - 2	0.147	a20220312_00038_01_0001.sdf
20220312	38	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8024096327	355.7959899	No Line	No Line	0.147	a20220312_00038_02_0001.sdf
