utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20211105	1	JCMTCAL	CRL2688	a20211105_00001_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	1	JCMTCAL	CRL2688	a20211105_00001_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	2	JCMTCAL	CRL2688	a20211105_00002_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	2	JCMTCAL	CRL2688	a20211105_00002_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	3	JCMTCAL	CRL2688	a20211105_00003_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	3	JCMTCAL	CRL2688	a20211105_00003_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	4	JCMTCAL	CRL2688	a20211105_00004_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	4	JCMTCAL	CRL2688	a20211105_00004_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	5	JCMTCAL	CRL2688	a20211105_00005_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	5	JCMTCAL	CRL2688	a20211105_00005_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	6	JCMTCAL	CRL2688	a20211105_00006_01_0001.sdf	CRL2688 12CO(3-2) 345.796	LSB	1	250MHzx8192	345.7959899	CO	3 - 2
20211105	6	JCMTCAL	CRL2688	a20211105_00006_02_0001.sdf	CRL2688 12CO(3-2) 345.796	LSB	2	1000MHzx2048	345.7959899	CO	3 - 2
20211105	6	JCMTCAL	CRL2688	a20211105_00006_03_0001.sdf	CRL2688 12CO(3-2) 345.796	USB	3	250MHzx8192	355.794822562	No Line	No Line
20211105	6	JCMTCAL	CRL2688	a20211105_00006_04_0001.sdf	CRL2688 12CO(3-2) 345.796	USB	4	1000MHzx2048	355.794822562	No Line	No Line
20211105	7	JCMTCAL	EPAqr	a20211105_00007_01_0001.sdf	Aweoweo Point (1X)_done_20211104T193225	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	7	JCMTCAL	EPAqr	a20211105_00007_02_0001.sdf	Aweoweo Point (1X)_done_20211104T193225	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	8	JCMTCAL	JUPITER	a20211105_00008_01_0001.sdf	Jupiter_Efficiency_360_370	LSB	1	1000MHzx1024	360	No Line	No Line
20211105	8	JCMTCAL	JUPITER	a20211105_00008_02_0001.sdf	Jupiter_Efficiency_360_370	USB	2	1000MHzx1024	370	No Line	No Line
20211105	9	JCMTCAL	JUPITER	a20211105_00009_01_0001.sdf	Jupiter_Efficiency_340_350	LSB	1	1000MHzx1024	340	No Line	No Line
20211105	9	JCMTCAL	JUPITER	a20211105_00009_02_0001.sdf	Jupiter_Efficiency_340_350	USB	2	1000MHzx1024	350	No Line	No Line
20211105	10	JCMTCAL	JUPITER	a20211105_00010_01_0001.sdf	Jupiter_Efficiency_335.8_345.8	USB	1	1000MHzx1024	345.7959899	CO	3 - 2
20211105	10	JCMTCAL	JUPITER	a20211105_00010_02_0001.sdf	Jupiter_Efficiency_335.8_345.8	LSB	2	1000MHzx1024	333.7959899	No Line	No Line
20211105	11	JCMTCAL	JUPITER	a20211105_00011_01_0001.sdf	Jupiter_Efficiency_309_319	LSB	1	1000MHzx1024	309	No Line	No Line
20211105	11	JCMTCAL	JUPITER	a20211105_00011_02_0001.sdf	Jupiter_Efficiency_309_319	USB	2	1000MHzx1024	319	No Line	No Line
20211105	12	JCMTCAL	JUPITER	a20211105_00012_01_0001.sdf	Jupiter_Efficiency_297_307	LSB	1	1000MHzx1024	297	No Line	No Line
20211105	12	JCMTCAL	JUPITER	a20211105_00012_02_0001.sdf	Jupiter_Efficiency_297_307	USB	2	1000MHzx1024	307	No Line	No Line
20211105	13	JCMTCAL	JUPITER	a20211105_00013_01_0001.sdf	Jupiter_Efficiency_278_288	LSB	1	1000MHzx1024	278	No Line	No Line
20211105	13	JCMTCAL	JUPITER	a20211105_00013_02_0001.sdf	Jupiter_Efficiency_278_288	USB	2	1000MHzx1024	288	No Line	No Line
20211105	14	JCMTCAL	NMLTau	a20211105_00014_01_0001.sdf	Aweoweo Point	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	14	JCMTCAL	NMLTau	a20211105_00014_02_0001.sdf	Aweoweo Point	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	15	JCMTCAL	URANUS	a20211105_00015_01_0001.sdf	Uranus_Efficiency_360_370	LSB	1	1000MHzx1024	360	No Line	No Line
20211105	15	JCMTCAL	URANUS	a20211105_00015_02_0001.sdf	Uranus_Efficiency_360_370	USB	2	1000MHzx1024	370	No Line	No Line
20211105	16	JCMTCAL	URANUS	a20211105_00016_01_0001.sdf	Uranus_Efficiency_340_350	LSB	1	1000MHzx1024	340	No Line	No Line
20211105	16	JCMTCAL	URANUS	a20211105_00016_02_0001.sdf	Uranus_Efficiency_340_350	USB	2	1000MHzx1024	350	No Line	No Line
20211105	17	JCMTCAL	URANUS	a20211105_00017_01_0001.sdf	Uranus_Efficiency_335.8_345.8	USB	1	1000MHzx1024	345.7959899	CO	3 - 2
20211105	17	JCMTCAL	URANUS	a20211105_00017_02_0001.sdf	Uranus_Efficiency_335.8_345.8	LSB	2	1000MHzx1024	335.7959899	No Line	No Line
20211105	18	JCMTCAL	URANUS	a20211105_00018_01_0001.sdf	Uranus_Efficiency_309_319	LSB	1	1000MHzx1024	309	No Line	No Line
20211105	18	JCMTCAL	URANUS	a20211105_00018_02_0001.sdf	Uranus_Efficiency_309_319	USB	2	1000MHzx1024	319	No Line	No Line
20211105	19	JCMTCAL	URANUS	a20211105_00019_01_0001.sdf	Uranus_Efficiency_297_307	LSB	1	1000MHzx1024	297	No Line	No Line
20211105	19	JCMTCAL	URANUS	a20211105_00019_02_0001.sdf	Uranus_Efficiency_297_307	USB	2	1000MHzx1024	307	No Line	No Line
20211105	20	JCMTCAL	URANUS	a20211105_00020_01_0001.sdf	Uranus_Efficiency_278_288	LSB	1	1000MHzx1024	278	No Line	No Line
20211105	20	JCMTCAL	URANUS	a20211105_00020_02_0001.sdf	Uranus_Efficiency_278_288	USB	2	1000MHzx1024	288	No Line	No Line
20211105	21	JCMTCAL	CRL618	a20211105_00021_01_0001.sdf	Aweoweo Point (1X)_done_20211104T213752	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	21	JCMTCAL	CRL618	a20211105_00021_02_0001.sdf	Aweoweo Point (1X)_done_20211104T213752	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	22	JCMTCAL	CRL618	a20211105_00022_01_0001.sdf	Aweoweo Focus-Z (7-sample) (1X)_done_20211104T213748	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211105	22	JCMTCAL	CRL618	a20211105_00022_02_0001.sdf	Aweoweo Focus-Z (7-sample) (1X)_done_20211104T213748	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211105	23	JCMTCAL	CRL618	a20211105_00023_01_0001.sdf	CRL618 CH3OH(7-6) 338.4087	LSB	1	250MHzx8192	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20211105	23	JCMTCAL	CRL618	a20211105_00023_02_0001.sdf	CRL618 CH3OH(7-6) 338.4087	LSB	2	1000MHzx2048	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20211105	23	JCMTCAL	CRL618	a20211105_00023_03_0001.sdf	CRL618 CH3OH(7-6) 338.4087	USB	3	250MHzx8192	348.4079472128	No Line	No Line
20211105	23	JCMTCAL	CRL618	a20211105_00023_04_0001.sdf	CRL618 CH3OH(7-6) 338.4087	USB	4	1000MHzx2048	348.4079472128	No Line	No Line
20211105	24	JCMTCAL	CRL618	a20211105_00024_01_0001.sdf	CRL618 H2CO(5-4) 362.736	USB	1	250MHzx8192	362.736048	H2CO	5 0 5 - 4 0 4
20211105	24	JCMTCAL	CRL618	a20211105_00024_02_0001.sdf	CRL618 H2CO(5-4) 362.736	USB	2	1000MHzx2048	362.736048	H2CO	5 0 5 - 4 0 4
20211105	24	JCMTCAL	CRL618	a20211105_00024_03_0001.sdf	CRL618 H2CO(5-4) 362.736	LSB	3	250MHzx8192	352.7367817872	No Line	No Line
20211105	24	JCMTCAL	CRL618	a20211105_00024_04_0001.sdf	CRL618 H2CO(5-4) 362.736	LSB	4	1000MHzx2048	352.7367817872	No Line	No Line
20211105	25	JCMTCAL	CRL618	a20211105_00025_01_0001.sdf	CRL618 CH3OH(7-6) 338.4087	USB	1	250MHzx8192	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20211105	25	JCMTCAL	CRL618	a20211105_00025_02_0001.sdf	CRL618 CH3OH(7-6) 338.4087	USB	2	1000MHzx2048	338.408681	CH3OH	7 0 7 +0 - 6 0 6 +0
20211105	25	JCMTCAL	CRL618	a20211105_00025_03_0001.sdf	CRL618 CH3OH(7-6) 338.4087	LSB	3	250MHzx8192	328.4094147872	No Line	No Line
20211105	25	JCMTCAL	CRL618	a20211105_00025_04_0001.sdf	CRL618 CH3OH(7-6) 338.4087	LSB	4	1000MHzx2048	328.4094147872	No Line	No Line
20211105	26	JCMTCAL	CRL618	a20211105_00026_01_0001.sdf	CRL618 12CO(3-2) 345.796	USB	1	250MHzx8192	345.7959899	CO	3 - 2
