utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220704	31	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986919595	345.7959899	CO	3 - 2	0.104	a20220704_00031_01_0001.sdf
20220704	31	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986919595	355.7959899	No Line	No Line	0.104	a20220704_00031_02_0001.sdf
20220704	32	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986814233	345.7959899	CO	3 - 2	0.104	a20220704_00032_01_0001.sdf
20220704	32	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986814233	355.7959899	No Line	No Line	0.104	a20220704_00032_02_0001.sdf
20220704	33	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986703387	345.7959899	CO	3 - 2	0.104	a20220704_00033_01_0001.sdf
20220704	33	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986703387	355.7959899	No Line	No Line	0.104	a20220704_00033_02_0001.sdf
20220704	34	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986598879	345.7959899	CO	3 - 2	0.104	a20220704_00034_01_0001.sdf
20220704	34	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986598879	355.7959899	No Line	No Line	0.104	a20220704_00034_02_0001.sdf
20220704	35	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986488274	345.7959899	CO	3 - 2	0.104	a20220704_00035_01_0001.sdf
20220704	35	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986488274	355.7959899	No Line	No Line	0.104	a20220704_00035_02_0001.sdf
20220704	36	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7986380191	345.7959899	CO	3 - 2	0.104	a20220704_00036_01_0001.sdf
20220704	36	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7986380191	355.7959899	No Line	No Line	0.104	a20220704_00036_02_0001.sdf
20220704	37	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7854845241	345.7959899	CO	3 - 2	0.104	a20220704_00037_01_0001.sdf
20220704	37	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7854845241	345.7959899	CO	3 - 2	0.104	a20220704_00037_02_0001.sdf
20220704	37	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7854845241	335.7958564726	No Line	No Line	0.104	a20220704_00037_03_0001.sdf
20220704	37	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7854845241	335.7958564726	No Line	No Line	0.104	a20220704_00037_04_0001.sdf
20220704	38	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	1	250MHzx8192	351.7234351088	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00038_01_0001.sdf
20220704	38	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	2	1000MHzx2048	351.7234351088	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00038_02_0001.sdf
20220704	38	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	LSB	3	250MHzx8192	351.7234351088	346.7341545726	No Line	No Line	0.104	a20220704_00038_03_0001.sdf
20220704	38	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	LSB	4	1000MHzx2048	351.7234351088	346.7341545726	No Line	No Line	0.104	a20220704_00038_04_0001.sdf
20220704	39	JCMTCAL	IRC+20326	Aweoweo Point	LSB	1	1000MHzx2048	350.8139310678	345.7959899	CO	3 - 2	0.104	a20220704_00039_01_0001.sdf
20220704	39	JCMTCAL	IRC+20326	Aweoweo Point	USB	2	1000MHzx2048	350.8139310678	355.7959899	No Line	No Line	0.104	a20220704_00039_02_0001.sdf
20220704	40	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00040_01_0001.sdf
20220704	40	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00040_02_0001.sdf
20220704	40	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00040_03_0001.sdf
20220704	40	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00040_04_0001.sdf
20220704	41	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00041_01_0001.sdf
20220704	41	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00041_02_0001.sdf
20220704	41	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00041_03_0001.sdf
20220704	41	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00041_04_0001.sdf
20220704	42	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T214508	LSB	1	1000MHzx2048	350.8138618694	345.7959899	CO	3 - 2	0.104	a20220704_00042_01_0001.sdf
20220704	42	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T214508	USB	2	1000MHzx2048	350.8138618694	355.7959899	No Line	No Line	0.104	a20220704_00042_02_0001.sdf
20220704	43	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00043_01_0001.sdf
20220704	43	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00043_02_0001.sdf
20220704	43	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00043_03_0001.sdf
20220704	43	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00043_04_0001.sdf
20220704	44	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00044_01_0001.sdf
20220704	44	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00044_02_0001.sdf
20220704	44	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00044_03_0001.sdf
20220704	44	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00044_04_0001.sdf
20220704	45	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220703T214624	LSB	1	1000MHzx2048	350.8137910253	345.7959899	CO	3 - 2	0.104	a20220704_00045_01_0001.sdf
20220704	45	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220703T214624	USB	2	1000MHzx2048	350.8137910253	355.7959899	No Line	No Line	0.104	a20220704_00045_02_0001.sdf
20220704	46	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00046_01_0001.sdf
20220704	46	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00046_02_0001.sdf
20220704	46	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00046_03_0001.sdf
20220704	46	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00046_04_0001.sdf
20220704	47	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00047_01_0001.sdf
20220704	47	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00047_02_0001.sdf
20220704	47	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00047_03_0001.sdf
20220704	47	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00047_04_0001.sdf
20220704	48	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T224000	LSB	1	1000MHzx2048	350.813722875	345.7959899	CO	3 - 2	0.104	a20220704_00048_01_0001.sdf
20220704	48	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T224000	USB	2	1000MHzx2048	350.813722875	355.7959899	No Line	No Line	0.104	a20220704_00048_02_0001.sdf
20220704	49	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00049_01_0001.sdf
20220704	49	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00049_02_0001.sdf
20220704	49	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00049_03_0001.sdf
20220704	49	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00049_04_0001.sdf
20220704	50	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00050_01_0001.sdf
20220704	50	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00050_02_0001.sdf
20220704	50	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00050_03_0001.sdf
20220704	50	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00050_04_0001.sdf
20220704	51	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220703T231850	LSB	1	1000MHzx2048	350.8136568221	345.7959899	CO	3 - 2	0.104	a20220704_00051_01_0001.sdf
20220704	51	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220703T231850	USB	2	1000MHzx2048	350.8136568221	355.7959899	No Line	No Line	0.104	a20220704_00051_02_0001.sdf
20220704	52	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00052_01_0001.sdf
20220704	52	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00052_02_0001.sdf
20220704	52	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00052_03_0001.sdf
20220704	52	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00052_04_0001.sdf
20220704	53	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00053_01_0001.sdf
20220704	53	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00053_02_0001.sdf
20220704	53	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00053_03_0001.sdf
20220704	53	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00053_04_0001.sdf
20220704	54	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00054_01_0001.sdf
20220704	54	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00054_02_0001.sdf
20220704	54	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00054_03_0001.sdf
20220704	54	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00054_04_0001.sdf
20220704	55	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T234529	LSB	1	1000MHzx2048	350.8135675466	345.7959899	CO	3 - 2	0.104	a20220704_00055_01_0001.sdf
20220704	55	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample) (1X)_done_20220703T234529	USB	2	1000MHzx2048	350.8135675466	355.7959899	No Line	No Line	0.104	a20220704_00055_02_0001.sdf
20220704	56	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.034288	356.734288	HCO+ v=0	4 - 3	0.104	a20220704_00056_01_0001.sdf
20220704	56	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.034288	354.5054759	HCN	4 - 3	0.104	a20220704_00056_02_0001.sdf
20220704	56	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.034288	343.334288	No Line	No Line	0.104	a20220704_00056_03_0001.sdf
20220704	56	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.034288	345.5631001	No Line	No Line	0.104	a20220704_00056_04_0001.sdf
20220704	57	JCMTCAL	CRL2688	Aweoweo Point (1X)_done_20220704T001025	LSB	1	1000MHzx2048	350.8721847416	345.7959899	CO	3 - 2	0.104	a20220704_00057_01_0001.sdf
