utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220720	1	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7767816284	345.7959899	CO	3 - 2	0.1	a20220720_00001_01_0001.sdf
20220720	1	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7767816284	355.7959899	No Line	No Line	0.1	a20220720_00001_02_0001.sdf
20220720	2	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7767727536	345.7959899	CO	3 - 2	0.098	a20220720_00002_01_0001.sdf
20220720	2	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7767727536	355.7959899	No Line	No Line	0.098	a20220720_00002_02_0001.sdf
20220720	3	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7767640086	345.7959899	CO	3 - 2	0.098	a20220720_00003_01_0001.sdf
20220720	3	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7767640086	355.7959899	No Line	No Line	0.098	a20220720_00003_02_0001.sdf
20220720	4	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7767551424	345.7959899	CO	3 - 2	0.104	a20220720_00004_01_0001.sdf
20220720	4	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7767551424	355.7959899	No Line	No Line	0.104	a20220720_00004_02_0001.sdf
20220720	5	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.776746365	345.7959899	CO	3 - 2	0.104	a20220720_00005_01_0001.sdf
20220720	5	JCMTCAL	RHya	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.776746365	355.7959899	No Line	No Line	0.104	a20220720_00005_02_0001.sdf
20220720	6	JCMTCAL	RHya	Aweoweo Point	LSB	1	1000MHzx2048	350.7767375139	345.7959899	CO	3 - 2	0.092	a20220720_00006_01_0001.sdf
20220720	6	JCMTCAL	RHya	Aweoweo Point	USB	2	1000MHzx2048	350.7767375139	355.7959899	No Line	No Line	0.092	a20220720_00006_02_0001.sdf
20220720	7	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7912484474	345.7959899	CO	3 - 2	0.092	a20220720_00007_01_0001.sdf
20220720	7	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7912484474	355.7959899	No Line	No Line	0.092	a20220720_00007_02_0001.sdf
20220720	8	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7788597183	345.7959899	CO	3 - 2	0.092	a20220720_00008_01_0001.sdf
20220720	8	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7788597183	345.7959899	CO	3 - 2	0.092	a20220720_00008_02_0001.sdf
20220720	8	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7788597183	335.7958564726	No Line	No Line	0.092	a20220720_00008_03_0001.sdf
20220720	8	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7788597183	335.7958564726	No Line	No Line	0.092	a20220720_00008_04_0001.sdf
20220720	9	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	1	250MHzx8192	351.7166046042	356.734288	HCO+ v=0	4 - 3	0.092	a20220720_00009_01_0001.sdf
20220720	9	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	2	1000MHzx2048	351.7166046042	356.734288	HCO+ v=0	4 - 3	0.092	a20220720_00009_02_0001.sdf
20220720	9	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	LSB	3	250MHzx8192	351.7166046042	346.7341545726	No Line	No Line	0.092	a20220720_00009_03_0001.sdf
20220720	9	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	LSB	4	1000MHzx2048	351.7166046042	346.7341545726	No Line	No Line	0.092	a20220720_00009_04_0001.sdf
20220720	10	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220719T180011	LSB	1	1000MHzx2048	350.8082570009	345.7959899	CO	3 - 2	0.098	a20220720_00010_01_0001.sdf
20220720	10	JCMTCAL	IRC+20326	Aweoweo Point (1X)_done_20220719T180011	USB	2	1000MHzx2048	350.8082570009	355.7959899	No Line	No Line	0.098	a20220720_00010_02_0001.sdf
20220720	11	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8082500754	345.7959899	CO	3 - 2	0.098	a20220720_00011_01_0001.sdf
20220720	11	JCMTCAL	IRC+20326	Aweoweo Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8082500754	355.7959899	No Line	No Line	0.098	a20220720_00011_02_0001.sdf
20220720	12	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.091	a20220720_00012_01_0001.sdf
20220720	12	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.091	a20220720_00012_02_0001.sdf
20220720	12	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.1507329	343.5671778	No Line	No Line	0.091	a20220720_00012_03_0001.sdf
20220720	12	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.1507329	345.7959899	No Line	No Line	0.091	a20220720_00012_04_0001.sdf
20220720	13	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.096	a20220720_00013_01_0001.sdf
20220720	13	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.096	a20220720_00013_02_0001.sdf
20220720	13	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.1507329	343.5671778	No Line	No Line	0.096	a20220720_00013_03_0001.sdf
20220720	13	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.1507329	345.7959899	No Line	No Line	0.096	a20220720_00013_04_0001.sdf
20220720	14	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.092	a20220720_00014_01_0001.sdf
20220720	14	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.092	a20220720_00014_02_0001.sdf
20220720	14	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.1507329	343.5671778	No Line	No Line	0.092	a20220720_00014_03_0001.sdf
20220720	14	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.1507329	345.7959899	No Line	No Line	0.092	a20220720_00014_04_0001.sdf
20220720	15	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.093	a20220720_00015_01_0001.sdf
20220720	15	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.093	a20220720_00015_02_0001.sdf
20220720	15	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.1507329	343.5671778	No Line	No Line	0.093	a20220720_00015_03_0001.sdf
20220720	15	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.1507329	345.7959899	No Line	No Line	0.093	a20220720_00015_04_0001.sdf
20220720	16	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.107	a20220720_00016_01_0001.sdf
20220720	16	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.107	a20220720_00016_02_0001.sdf
20220720	16	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	3	250MHzx8192	350.1507329	343.5671778	No Line	No Line	0.107	a20220720_00016_03_0001.sdf
20220720	16	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	LSB	4	250MHzx8192	350.1507329	345.7959899	No Line	No Line	0.107	a20220720_00016_04_0001.sdf
20220720	17	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	1	250MHzx8192	350.1507329	356.734288	HCO+ v=0	4 - 3	0.091	a20220720_00017_01_0001.sdf
20220720	17	M22AP009	C2017_K2_PanSTARRS	K2; HCN 4-3 &amp;amp; HCO+ 4-3 Stare-Chop	USB	2	250MHzx8192	350.1507329	354.5054759	No Line	No Line	0.091	a20220720_00017_02_0001.sdf
