utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220722	19	JCMTCAL	OH231.8	OH231.8 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.740574807	345.7959899	CO	3 - 2	0.159	a20220722_00019_01_0001.sdf
20220722	19	JCMTCAL	OH231.8	OH231.8 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.740574807	345.7959899	CO	3 - 2	0.159	a20220722_00019_02_0001.sdf
20220722	19	JCMTCAL	OH231.8	OH231.8 12CO(3-2) 345.796	USB	3	250MHzx8192	350.740574807	355.7969906924	No Line	No Line	0.159	a20220722_00019_03_0001.sdf
20220722	19	JCMTCAL	OH231.8	OH231.8 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.740574807	355.7969906924	No Line	No Line	0.159	a20220722_00019_04_0001.sdf
20220722	20	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.8039509702	345.7959899	CO	3 - 2	0.157	a20220722_00020_01_0001.sdf
20220722	20	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.8039509702	345.7959899	CO	3 - 2	0.157	a20220722_00020_02_0001.sdf
20220722	20	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	3	250MHzx8192	350.8039509702	355.7951227086	No Line	No Line	0.157	a20220722_00020_03_0001.sdf
20220722	20	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.8039509702	355.7951227086	No Line	No Line	0.157	a20220722_00020_04_0001.sdf
20220722	21	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	1	250MHzx8192	340.8039385774	345.7959899	CO	3 - 2	0.128	a20220722_00021_01_0001.sdf
20220722	21	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.8039385774	345.7959899	CO	3 - 2	0.128	a20220722_00021_02_0001.sdf
20220722	21	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.8039385774	335.7968570914	No Line	No Line	0.128	a20220722_00021_03_0001.sdf
20220722	21	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.8039385774	335.7968570914	No Line	No Line	0.128	a20220722_00021_04_0001.sdf
