utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220419	21	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7866563855	345.7959899	CO	3 - 2	0.487	a20220419_00021_01_0001.sdf
20220419	21	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7866563855	355.7959899	No Line	No Line	0.487	a20220419_00021_02_0001.sdf
20220419	22	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7866461359	345.7959899	CO	3 - 2	0.487	a20220419_00022_01_0001.sdf
20220419	22	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7866461359	355.7959899	No Line	No Line	0.487	a20220419_00022_02_0001.sdf
20220419	23	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7866361441	345.7959899	CO	3 - 2	0.487	a20220419_00023_01_0001.sdf
20220419	23	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7866361441	355.7959899	No Line	No Line	0.487	a20220419_00023_02_0001.sdf
20220419	24	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7866263021	345.7959899	CO	3 - 2	0.487	a20220419_00024_01_0001.sdf
20220419	24	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7866263021	355.7959899	No Line	No Line	0.487	a20220419_00024_02_0001.sdf
20220419	25	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7866159579	345.7959899	CO	3 - 2	0.487	a20220419_00025_01_0001.sdf
20220419	25	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7866159579	355.7959899	No Line	No Line	0.487	a20220419_00025_02_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	LSB	1	1000MHzx1024	295.9108610798	289.1	No Line	No Line	0.487	a20220419_00026_01_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	LSB	2	1000MHzx1024	295.9108610798	289.8998799349	No Line	No Line	0.487	a20220419_00026_02_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	LSB	3	1000MHzx1024	295.9108610798	290.599774878	No Line	No Line	0.487	a20220419_00026_03_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	LSB	4	1000MHzx1024	295.9108610798	291.399654813	No Line	No Line	0.487	a20220419_00026_04_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	USB	5	1000MHzx1024	295.9108610798	302.6979588941	No Line	No Line	0.487	a20220419_00026_05_0001.sdf
20220419	26	M22AEC36	IRC +10216	Spectral range 5 - 0	USB	6	1000MHzx1024	295.9108610798	301.8980789592	No Line	No Line	0.487	a20220419_00026_06_0001.sdf
