utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220427	64	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8390313302	345.7959899	CO	3 - 2	0.149	a20220427_00064_01_0001.sdf
20220427	64	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8390313302	355.7959899	No Line	No Line	0.149	a20220427_00064_02_0001.sdf
20220427	65	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8390207831	345.7959899	CO	3 - 2	0.149	a20220427_00065_01_0001.sdf
20220427	65	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8390207831	355.7959899	No Line	No Line	0.149	a20220427_00065_02_0001.sdf
20220427	66	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8390101114	345.7959899	CO	3 - 2	0.146	a20220427_00066_01_0001.sdf
20220427	66	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8390101114	355.7959899	No Line	No Line	0.146	a20220427_00066_02_0001.sdf
20220427	67	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8389994843	345.7959899	CO	3 - 2	0.146	a20220427_00067_01_0001.sdf
20220427	67	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8389994843	355.7959899	No Line	No Line	0.146	a20220427_00067_02_0001.sdf
20220427	68	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.838988893	345.7959899	CO	3 - 2	0.145	a20220427_00068_01_0001.sdf
20220427	68	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.838988893	355.7959899	No Line	No Line	0.145	a20220427_00068_02_0001.sdf
20220427	69	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.838978467	345.7959899	CO	3 - 2	0.145	a20220427_00069_01_0001.sdf
20220427	69	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.838978467	355.7959899	No Line	No Line	0.145	a20220427_00069_02_0001.sdf
20220427	70	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.8389680137	345.7959899	CO	3 - 2	0.143	a20220427_00070_01_0001.sdf
20220427	70	JCMTCAL	IRC+00365	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.8389680137	355.7959899	No Line	No Line	0.143	a20220427_00070_02_0001.sdf
20220427	71	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7778383375	345.7959899	CO	3 - 2	0.143	a20220427_00071_01_0001.sdf
20220427	71	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7778383375	345.7959899	CO	3 - 2	0.143	a20220427_00071_02_0001.sdf
20220427	71	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7778383375	335.7940548539	No Line	No Line	0.143	a20220427_00071_03_0001.sdf
20220427	71	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7778383375	335.7940548539	No Line	No Line	0.143	a20220427_00071_04_0001.sdf
20220427	72	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.7778224734	345.7959899	CO	3 - 2	0.135	a20220427_00072_01_0001.sdf
20220427	72	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.7778224734	345.7959899	CO	3 - 2	0.135	a20220427_00072_02_0001.sdf
20220427	72	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	3	250MHzx8192	350.7778224734	355.7979249461	No Line	No Line	0.135	a20220427_00072_03_0001.sdf
20220427	72	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.7778224734	355.7979249461	No Line	No Line	0.135	a20220427_00072_04_0001.sdf
20220427	73	JCMTCAL	EPAqr	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8786102298	345.7959899	CO	3 - 2	0.128	a20220427_00073_01_0001.sdf
20220427	73	JCMTCAL	EPAqr	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8786102298	355.7959899	No Line	No Line	0.128	a20220427_00073_02_0001.sdf
20220427	74	JCMTCAL	EPAqr	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8786030722	345.7959899	CO	3 - 2	0.128	a20220427_00074_01_0001.sdf
20220427	74	JCMTCAL	EPAqr	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8786030722	355.7959899	No Line	No Line	0.128	a20220427_00074_02_0001.sdf
20220427	75	JCMTCAL	MARS	Mars_Efficiency_278_288	LSB	1	1000MHzx1024	283	278	No Line	No Line	0.128	a20220427_00075_01_0001.sdf
20220427	75	JCMTCAL	MARS	Mars_Efficiency_278_288	USB	2	1000MHzx1024	283	288	No Line	No Line	0.128	a20220427_00075_02_0001.sdf
20220427	76	JCMTCAL	MARS	Mars_Efficiency_297_307	LSB	1	1000MHzx1024	302	297	No Line	No Line	0.136	a20220427_00076_01_0001.sdf
20220427	76	JCMTCAL	MARS	Mars_Efficiency_297_307	USB	2	1000MHzx1024	302	307	No Line	No Line	0.136	a20220427_00076_02_0001.sdf
20220427	77	JCMTCAL	MARS	Mars_Efficiency_309_319	LSB	1	1000MHzx1024	314	309	No Line	No Line	0.136	a20220427_00077_01_0001.sdf
20220427	77	JCMTCAL	MARS	Mars_Efficiency_309_319	USB	2	1000MHzx1024	314	319	No Line	No Line	0.136	a20220427_00077_02_0001.sdf
20220427	78	JCMTCAL	MARS	Mars_Efficiency_335.8_345.8	USB	1	1000MHzx1024	340.7959899	345.7959899	CO	3 - 2	0.138	a20220427_00078_01_0001.sdf
20220427	78	JCMTCAL	MARS	Mars_Efficiency_335.8_345.8	LSB	2	1000MHzx1024	340.7959899	335.7959899	No Line	No Line	0.138	a20220427_00078_02_0001.sdf
20220427	79	JCMTCAL	MARS	Mars_Efficiency_340_350	LSB	1	1000MHzx1024	345	340	No Line	No Line	0.138	a20220427_00079_01_0001.sdf
20220427	79	JCMTCAL	MARS	Mars_Efficiency_340_350	USB	2	1000MHzx1024	345	350	No Line	No Line	0.138	a20220427_00079_02_0001.sdf
20220427	80	JCMTCAL	MARS	Mars_Efficiency_360_370	LSB	1	1000MHzx1024	365	360	No Line	No Line	0.138	a20220427_00080_01_0001.sdf
20220427	80	JCMTCAL	MARS	Mars_Efficiency_360_370	USB	2	1000MHzx1024	365	370	No Line	No Line	0.138	a20220427_00080_02_0001.sdf
20220427	81	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220427T043119	LSB	1	1000MHzx2048	350.8388435783	345.7959899	CO	3 - 2	0.146	a20220427_00081_01_0001.sdf
20220427	81	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220427T043119	USB	2	1000MHzx2048	350.8388435783	355.7959899	No Line	No Line	0.146	a20220427_00081_02_0001.sdf
20220427	82	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220427T043119	LSB	1	1000MHzx2048	350.8388214948	345.7959899	CO	3 - 2	0.145	a20220427_00082_01_0001.sdf
20220427	82	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220427T043119	USB	2	1000MHzx2048	350.8388214948	355.7959899	No Line	No Line	0.145	a20220427_00082_02_0001.sdf
20220427	83	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043114	USB	1	250MHzx8192	340.7776914335	345.7959899	CO	3 - 2	0.145	a20220427_00083_01_0001.sdf
20220427	83	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043114	USB	2	1000MHzx2048	340.7776914335	345.7959899	CO	3 - 2	0.145	a20220427_00083_02_0001.sdf
20220427	83	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043114	LSB	3	250MHzx8192	340.7776914335	335.7940548539	No Line	No Line	0.145	a20220427_00083_03_0001.sdf
20220427	83	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043114	LSB	4	1000MHzx2048	340.7776914335	335.7940548539	No Line	No Line	0.145	a20220427_00083_04_0001.sdf
20220427	84	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043111	LSB	1	250MHzx8192	350.7776765322	345.7959899	CO	3 - 2	0.133	a20220427_00084_01_0001.sdf
20220427	84	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043111	LSB	2	1000MHzx2048	350.7776765322	345.7959899	CO	3 - 2	0.133	a20220427_00084_02_0001.sdf
20220427	84	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043111	USB	3	250MHzx8192	350.7776765322	355.7979249461	No Line	No Line	0.133	a20220427_00084_03_0001.sdf
20220427	84	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796 (1X)_done_20220427T043111	USB	4	1000MHzx2048	350.7776765322	355.7979249461	No Line	No Line	0.133	a20220427_00084_04_0001.sdf
