utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20211002	1	JCMTCAL	CRL2688	a20211002_00001_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211002	1	JCMTCAL	CRL2688	a20211002_00001_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211002	2	JCMTCAL	CRL2688	a20211002_00002_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211002	2	JCMTCAL	CRL2688	a20211002_00002_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211002	3	JCMTCAL	CRL2688	a20211002_00003_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211002	3	JCMTCAL	CRL2688	a20211002_00003_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211002	4	JCMTCAL	CRL2688	a20211002_00004_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211002	4	JCMTCAL	CRL2688	a20211002_00004_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211002	5	JCMTCAL	CRL2688	a20211002_00005_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20211002	5	JCMTCAL	CRL2688	a20211002_00005_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20211002	6	JCMTCAL	W75N	a20211002_00006_01_0001.sdf	W75N 12CO(3-2) 345.796 LSB 5GHz	LSB	1	250MHzx8192	345.7959899	CO	3 - 2
20211002	6	JCMTCAL	W75N	a20211002_00006_02_0001.sdf	W75N 12CO(3-2) 345.796 LSB 5GHz	LSB	2	1000MHzx2048	345.7959899	CO	3 - 2
20211002	6	JCMTCAL	W75N	a20211002_00006_03_0001.sdf	W75N 12CO(3-2) 345.796 LSB 5GHz	USB	3	250MHzx8192	355.7964235521	No Line	No Line
20211002	6	JCMTCAL	W75N	a20211002_00006_04_0001.sdf	W75N 12CO(3-2) 345.796 LSB 5GHz	USB	4	1000MHzx2048	355.7964235521	No Line	No Line
20211002	7	JCMTCAL	W75N	a20211002_00007_01_0001.sdf	W75N C18O(3-2) 329.3306 LSB 5GHz	LSB	1	250MHzx8192	329.3305453	C-18-O	3 - 2
20211002	7	JCMTCAL	W75N	a20211002_00007_02_0001.sdf	W75N C18O(3-2) 329.3306 LSB 5GHz	LSB	2	1000MHzx2048	329.3305453	C-18-O	3 - 2
20211002	7	JCMTCAL	W75N	a20211002_00007_03_0001.sdf	W75N C18O(3-2) 329.3306 LSB 5GHz	USB	3	250MHzx8192	339.3309789521	No Line	No Line
20211002	7	JCMTCAL	W75N	a20211002_00007_04_0001.sdf	W75N C18O(3-2) 329.3306 LSB 5GHz	USB	4	1000MHzx2048	339.3309789521	No Line	No Line
