utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220207	1	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	LSB	1	1000MHzx2048	350.7026988364	345.7959899	CO	3 - 2	0.166	a20220207_00001_01_0001.sdf
20220207	1	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	USB	2	1000MHzx2048	350.7026988364	355.7959899	No Line	No Line	0.166	a20220207_00001_02_0001.sdf
20220207	2	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	LSB	1	1000MHzx2048	350.7026879017	345.7959899	CO	3 - 2	0.113	a20220207_00002_01_0001.sdf
20220207	2	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	USB	2	1000MHzx2048	350.7026879017	355.7959899	No Line	No Line	0.113	a20220207_00002_02_0001.sdf
20220207	3	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	LSB	1	1000MHzx2048	350.7026770793	345.7959899	CO	3 - 2	0.113	a20220207_00003_01_0001.sdf
20220207	3	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	USB	2	1000MHzx2048	350.7026770793	355.7959899	No Line	No Line	0.113	a20220207_00003_02_0001.sdf
20220207	4	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	LSB	1	1000MHzx2048	350.7026662399	345.7959899	CO	3 - 2	0.095	a20220207_00004_01_0001.sdf
20220207	4	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	USB	2	1000MHzx2048	350.7026662399	355.7959899	No Line	No Line	0.095	a20220207_00004_02_0001.sdf
20220207	5	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	LSB	1	1000MHzx2048	350.702655697	345.7959899	CO	3 - 2	0.095	a20220207_00005_01_0001.sdf
20220207	5	JCMTCAL	GL865	Aweoweo Point Focus-ZXY Point (7-sample) (1X)_done_20220206T201705	USB	2	1000MHzx2048	350.702655697	355.7959899	No Line	No Line	0.095	a20220207_00005_02_0001.sdf
20220207	6	JCMTCAL	N2071IR	N2071IR C18O(3-2) 329.3305453 (1X)_done_20220206T202533	LSB	1	250MHzx8192	334.2768938423	329.3305453	C-18-O	3 - 2	0.095	a20220207_00006_01_0001.sdf
20220207	6	JCMTCAL	N2071IR	N2071IR C18O(3-2) 329.3305453 (1X)_done_20220206T202533	LSB	2	1000MHzx2048	334.2768938423	329.3305453	C-18-O	3 - 2	0.095	a20220207_00006_02_0001.sdf
20220207	6	JCMTCAL	N2071IR	N2071IR C18O(3-2) 329.3305453 (1X)_done_20220206T202533	USB	3	250MHzx8192	334.2768938423	339.3308788752	No Line	No Line	0.095	a20220207_00006_03_0001.sdf
20220207	6	JCMTCAL	N2071IR	N2071IR C18O(3-2) 329.3305453 (1X)_done_20220206T202533	USB	4	1000MHzx2048	334.2768938423	339.3308788752	No Line	No Line	0.095	a20220207_00006_04_0001.sdf
20220207	7	JCMTCAL	N2071IR	N2071IR 12CO(3-2) 345.796 (1X)_done_20220206T202536	USB	1	250MHzx8192	340.7396397857	345.7959899	CO	3 - 2	0.095	a20220207_00007_01_0001.sdf
20220207	7	JCMTCAL	N2071IR	N2071IR 12CO(3-2) 345.796 (1X)_done_20220206T202536	USB	2	1000MHzx2048	340.7396397857	345.7959899	CO	3 - 2	0.095	a20220207_00007_02_0001.sdf
20220207	7	JCMTCAL	N2071IR	N2071IR 12CO(3-2) 345.796 (1X)_done_20220206T202536	LSB	3	250MHzx8192	340.7396397857	335.7956563248	No Line	No Line	0.095	a20220207_00007_03_0001.sdf
20220207	7	JCMTCAL	N2071IR	N2071IR 12CO(3-2) 345.796 (1X)_done_20220206T202536	LSB	4	1000MHzx2048	340.7396397857	335.7956563248	No Line	No Line	0.095	a20220207_00007_04_0001.sdf
20220207	8	JCMTCAL	NMLTau	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220206T202625	LSB	1	1000MHzx2048	350.7125423854	345.7959899	CO	3 - 2	0.111	a20220207_00008_01_0001.sdf
20220207	8	JCMTCAL	NMLTau	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220206T202625	USB	2	1000MHzx2048	350.7125423854	355.7959899	No Line	No Line	0.111	a20220207_00008_02_0001.sdf
20220207	9	JCMTCAL	URANUS	UranusEfficiency278288 (1X)_done_20220206T202604	LSB	1	1000MHzx1024	283	278	No Line	No Line	0.123	a20220207_00009_01_0001.sdf
20220207	9	JCMTCAL	URANUS	UranusEfficiency278288 (1X)_done_20220206T202604	USB	2	1000MHzx1024	283	288	No Line	No Line	0.123	a20220207_00009_02_0001.sdf
20220207	10	JCMTCAL	URANUS	UranusEfficiency335.8345.8 (1X)_done_20220206T202558	USB	1	1000MHzx1024	340.7959899	345.7959899	CO	3 - 2	0.123	a20220207_00010_01_0001.sdf
20220207	10	JCMTCAL	URANUS	UranusEfficiency335.8345.8 (1X)_done_20220206T202558	LSB	2	1000MHzx1024	340.7959899	335.7959899	No Line	No Line	0.123	a20220207_00010_02_0001.sdf
