utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210707	1	JCMTCAL	GL1922	a20210707_00001_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	1	JCMTCAL	GL1922	a20210707_00001_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	2	JCMTCAL	RXBoo	a20210707_00002_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	2	JCMTCAL	RXBoo	a20210707_00002_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	3	JCMTCAL	RXBoo	a20210707_00003_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	3	JCMTCAL	RXBoo	a20210707_00003_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	5	JCMTCAL	RXBoo	a20210707_00005_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	5	JCMTCAL	RXBoo	a20210707_00005_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	6	JCMTCAL	RXBoo	a20210707_00006_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	6	JCMTCAL	RXBoo	a20210707_00006_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	95	JCMTCAL	oCeti	a20210707_00095_01_0001.sdf	Aweoweo Point	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	95	JCMTCAL	oCeti	a20210707_00095_02_0001.sdf	Aweoweo Point	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	96	JCMTCAL	oCeti	a20210707_00096_01_0001.sdf	Aweoweo Focus-Z (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	96	JCMTCAL	oCeti	a20210707_00096_02_0001.sdf	Aweoweo Focus-Z (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	97	JCMTCAL	oCeti	a20210707_00097_01_0001.sdf	Aweoweo Focus-Z (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	97	JCMTCAL	oCeti	a20210707_00097_02_0001.sdf	Aweoweo Focus-Z (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	98	JCMTCAL	oCeti	a20210707_00098_01_0001.sdf	Aweoweo Focus-Z (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	98	JCMTCAL	oCeti	a20210707_00098_02_0001.sdf	Aweoweo Focus-Z (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210707	99	JCMTCAL	URANUS	a20210707_00099_01_0001.sdf	Uranus Efficiency 345.796 GHz	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210707	99	JCMTCAL	URANUS	a20210707_00099_02_0001.sdf	Uranus Efficiency 345.796 GHz	USB	2	1000MHzx2048	357.7959899	No Line	No Line
