utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210625	57	JCMTCAL	GL2135	a20210625_00057_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210625	57	JCMTCAL	GL2135	a20210625_00057_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210625	58	JCMTCAL	GL2135	a20210625_00058_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210625	58	JCMTCAL	GL2135	a20210625_00058_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210625	59	JCMTCAL	GL2135	a20210625_00059_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210625	59	JCMTCAL	GL2135	a20210625_00059_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210625	60	JCMTCAL	GL2135	a20210625_00060_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210625	60	JCMTCAL	GL2135	a20210625_00060_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210625	61	JCMTCAL	GL2135	a20210625_00061_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210625	61	JCMTCAL	GL2135	a20210625_00061_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210625	62	JCMTCAL	MOON	a20210625_00062_01_0001.sdf	Moon 346.1	LSB	1	1000MHzx2048	346.2	No Line	No Line
20210625	62	JCMTCAL	MOON	a20210625_00062_02_0001.sdf	Moon 346.1	USB	2	1000MHzx2048	358.2	No Line	No Line
20210625	63	JCMTCAL	MOON	a20210625_00063_01_0001.sdf	Moon 290	LSB	1	1000MHzx2048	290	No Line	No Line
20210625	63	JCMTCAL	MOON	a20210625_00063_02_0001.sdf	Moon 290	USB	2	1000MHzx2048	302	No Line	No Line
20210625	64	JCMTCAL	MOON	a20210625_00064_01_0001.sdf	Moon 360	USB	1	1000MHzx2048	360	No Line	No Line
20210625	64	JCMTCAL	MOON	a20210625_00064_02_0001.sdf	Moon 360	LSB	2	1000MHzx2048	348	No Line	No Line
