utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210408	1	JCMTCAL	GL865	a20210408_00001_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	1	JCMTCAL	GL865	a20210408_00001_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	2	JCMTCAL	GL865	a20210408_00002_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	2	JCMTCAL	GL865	a20210408_00002_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	3	JCMTCAL	GL865	a20210408_00003_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	3	JCMTCAL	GL865	a20210408_00003_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	4	JCMTCAL	GL865	a20210408_00004_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	4	JCMTCAL	GL865	a20210408_00004_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	5	JCMTCAL	M1-7	a20210408_00005_01_0001.sdf	Aweoweo Point	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	5	JCMTCAL	M1-7	a20210408_00005_02_0001.sdf	Aweoweo Point	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	6	JCMTCAL	VHya	a20210408_00006_01_0001.sdf	Aweoweo Point (1X)_done_20210407T171538	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	6	JCMTCAL	VHya	a20210408_00006_02_0001.sdf	Aweoweo Point (1X)_done_20210407T171538	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	7	JCMTCAL	VHya	a20210408_00007_01_0001.sdf	Aweoweo Point (1X)_done_20210407T171538	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	7	JCMTCAL	VHya	a20210408_00007_02_0001.sdf	Aweoweo Point (1X)_done_20210407T171538	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210408	8	JCMTCAL	GL5254	a20210408_00008_01_0001.sdf	Aweoweo Point (1X)_done_20210407T172925	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210408	8	JCMTCAL	GL5254	a20210408_00008_02_0001.sdf	Aweoweo Point (1X)_done_20210407T172925	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
