utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210917	1	JCMTCAL	IRC+10216	a20210917_00001_01_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	LSB	1	250MHzx4096	345.7959899	CO	3 - 2
20210917	1	JCMTCAL	IRC+10216	a20210917_00001_02_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	LSB	2	1000MHzx1024	345.7959899	CO	3 - 2
20210917	1	JCMTCAL	IRC+10216	a20210917_00001_03_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	USB	3	250MHzx4096	357.7949492703	No Line	No Line
20210917	1	JCMTCAL	IRC+10216	a20210917_00001_04_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	USB	4	1000MHzx1024	357.7949492703	No Line	No Line
20210917	2	JCMTCAL	IRC+10216	a20210917_00002_01_0001.sdf	IRC+10216 HCN(4-3) 354.5055 USB	USB	1	250MHzx4096	354.5054759	HCN	4 - 3
20210917	2	JCMTCAL	IRC+10216	a20210917_00002_02_0001.sdf	IRC+10216 HCN(4-3) 354.5055 USB	USB	2	1000MHzx1024	354.5054759	HCN	4 - 3
20210917	2	JCMTCAL	IRC+10216	a20210917_00002_03_0001.sdf	IRC+10216 HCN(4-3) 354.5055 USB	LSB	3	250MHzx4096	342.5065165297	No Line	No Line
20210917	2	JCMTCAL	IRC+10216	a20210917_00002_04_0001.sdf	IRC+10216 HCN(4-3) 354.5055 USB	LSB	4	1000MHzx1024	342.5065165297	No Line	No Line
20210917	3	JCMTCAL	IRC+10216	a20210917_00003_01_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	1	250MHzx4096	362.736048	H2CO	5 0 5 - 4 0 4
20210917	3	JCMTCAL	IRC+10216	a20210917_00003_02_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	2	1000MHzx1024	362.736048	H2CO	5 0 5 - 4 0 4
20210917	3	JCMTCAL	IRC+10216	a20210917_00003_03_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	3	250MHzx4096	350.7370886297	No Line	No Line
20210917	3	JCMTCAL	IRC+10216	a20210917_00003_04_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	4	1000MHzx1024	350.7370886297	No Line	No Line
20210917	4	JCMTCAL	IRC+10216	a20210917_00004_01_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	1	250MHzx4096	362.736048	H2CO	5 0 5 - 4 0 4
20210917	4	JCMTCAL	IRC+10216	a20210917_00004_02_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	2	1000MHzx1024	362.736048	H2CO	5 0 5 - 4 0 4
20210917	4	JCMTCAL	IRC+10216	a20210917_00004_03_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	3	250MHzx4096	350.7370886297	No Line	No Line
20210917	4	JCMTCAL	IRC+10216	a20210917_00004_04_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	4	1000MHzx1024	350.7370886297	No Line	No Line
20210917	5	JCMTCAL	IRC+10216	a20210917_00005_01_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	1	250MHzx4096	362.736048	H2CO	5 0 5 - 4 0 4
20210917	5	JCMTCAL	IRC+10216	a20210917_00005_02_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	USB	2	1000MHzx1024	362.736048	H2CO	5 0 5 - 4 0 4
20210917	5	JCMTCAL	IRC+10216	a20210917_00005_03_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	3	250MHzx4096	350.7370886297	No Line	No Line
20210917	5	JCMTCAL	IRC+10216	a20210917_00005_04_0001.sdf	IRC+10216 H2CO(5-4) 362.736 USB	LSB	4	1000MHzx1024	350.7370886297	No Line	No Line
20210917	29	JCMTCAL	CRL2688	a20210917_00029_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210917	29	JCMTCAL	CRL2688	a20210917_00029_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
