utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220510	7	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7836199061	345.7959899	CO	3 - 2	0.127	a20220510_00007_01_0001.sdf
20220510	7	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7836199061	355.7959899	No Line	No Line	0.127	a20220510_00007_02_0001.sdf
20220510	8	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7836103924	345.7959899	CO	3 - 2	0.138	a20220510_00008_01_0001.sdf
20220510	8	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7836103924	355.7959899	No Line	No Line	0.138	a20220510_00008_02_0001.sdf
20220510	9	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7836006797	345.7959899	CO	3 - 2	0.138	a20220510_00009_01_0001.sdf
20220510	9	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7836006797	355.7959899	No Line	No Line	0.138	a20220510_00009_02_0001.sdf
20220510	10	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835914326	345.7959899	CO	3 - 2	0.111	a20220510_00010_01_0001.sdf
20220510	10	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835914326	355.7959899	No Line	No Line	0.111	a20220510_00010_02_0001.sdf
20220510	11	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835819254	345.7959899	CO	3 - 2	0.111	a20220510_00011_01_0001.sdf
20220510	11	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835819254	355.7959899	No Line	No Line	0.111	a20220510_00011_02_0001.sdf
20220510	12	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835720657	345.7959899	CO	3 - 2	0.111	a20220510_00012_01_0001.sdf
20220510	12	JCMTCAL	IRC+10216	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835720657	355.7959899	No Line	No Line	0.111	a20220510_00012_02_0001.sdf
20220510	13	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7840226341	345.7959899	CO	3 - 2	0.138	a20220510_00013_01_0001.sdf
20220510	13	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7840226341	345.7959899	CO	3 - 2	0.138	a20220510_00013_02_0001.sdf
20220510	13	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7840226341	335.7968570914	No Line	No Line	0.138	a20220510_00013_03_0001.sdf
20220510	13	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7840226341	335.7968570914	No Line	No Line	0.138	a20220510_00013_04_0001.sdf
20220510	14	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.7840093268	345.7959899	CO	3 - 2	0.11	a20220510_00014_01_0001.sdf
20220510	14	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.7840093268	345.7959899	CO	3 - 2	0.11	a20220510_00014_02_0001.sdf
20220510	14	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	3	250MHzx8192	350.7840093268	355.7951227086	No Line	No Line	0.11	a20220510_00014_03_0001.sdf
20220510	14	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.7840093268	355.7951227086	No Line	No Line	0.11	a20220510_00014_04_0001.sdf
20220510	15	JCMTCAL	GMCMa	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.6980418629	345.7959899	CO	3 - 2	0.11	a20220510_00015_01_0001.sdf
20220510	15	JCMTCAL	GMCMa	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.6980418629	355.7959899	No Line	No Line	0.11	a20220510_00015_02_0001.sdf
20220510	70	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8355925905	345.7959899	CO	3 - 2	0.068	a20220510_00070_01_0001.sdf
20220510	70	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8355925905	355.7959899	No Line	No Line	0.068	a20220510_00070_02_0001.sdf
20220510	71	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8355836316	345.7959899	CO	3 - 2	0.065	a20220510_00071_01_0001.sdf
20220510	71	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8355836316	355.7959899	No Line	No Line	0.065	a20220510_00071_02_0001.sdf
20220510	72	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	LSB	1	1000MHzx2048	350.8355747066	345.7959899	CO	3 - 2	0.065	a20220510_00072_01_0001.sdf
20220510	72	JCMTCAL	IRC+00365	Aweoweo Point Focus-Z (7-sample)	USB	2	1000MHzx2048	350.8355747066	355.7959899	No Line	No Line	0.065	a20220510_00072_02_0001.sdf
20220510	73	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	1	250MHzx8192	350.7748665009	345.7959899	CO	3 - 2	0.059	a20220510_00073_01_0001.sdf
20220510	73	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	2	1000MHzx2048	350.7748665009	345.7959899	CO	3 - 2	0.059	a20220510_00073_02_0001.sdf
20220510	73	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	3	250MHzx8192	350.7748665009	355.7979249461	No Line	No Line	0.059	a20220510_00073_03_0001.sdf
20220510	73	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	4	1000MHzx2048	350.7748665009	355.7979249461	No Line	No Line	0.059	a20220510_00073_04_0001.sdf
20220510	74	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7748536964	345.7959899	CO	3 - 2	0.059	a20220510_00074_01_0001.sdf
20220510	74	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7748536964	345.7959899	CO	3 - 2	0.059	a20220510_00074_02_0001.sdf
20220510	74	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7748536964	335.7940548539	No Line	No Line	0.059	a20220510_00074_03_0001.sdf
20220510	74	JCMTCAL	G34.3	G34.3 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7748536964	335.7940548539	No Line	No Line	0.059	a20220510_00074_04_0001.sdf
20220510	75	JCMTCAL	G34.3	G34.3 HCN(4-3) 354.5055	USB	1	250MHzx8192	349.4837940258	354.5054759	HCN	4 - 3	0.065	a20220510_00075_01_0001.sdf
20220510	75	JCMTCAL	G34.3	G34.3 HCN(4-3) 354.5055	USB	2	1000MHzx2048	349.4837940258	354.5054759	HCN	4 - 3	0.065	a20220510_00075_02_0001.sdf
20220510	75	JCMTCAL	G34.3	G34.3 HCN(4-3) 354.5055	LSB	3	250MHzx8192	349.4837940258	344.5035408539	No Line	No Line	0.065	a20220510_00075_03_0001.sdf
20220510	75	JCMTCAL	G34.3	G34.3 HCN(4-3) 354.5055	LSB	4	1000MHzx2048	349.4837940258	344.5035408539	No Line	No Line	0.065	a20220510_00075_04_0001.sdf
20220510	76	JCMTCAL	RAql	Aweoweo Point Focus-Z (7-sample) (1X)_done_20220510T012416	LSB	1	1000MHzx2048	350.7878733464	345.7959899	CO	3 - 2	0.058	a20220510_00076_01_0001.sdf
