utdate	obsnum	project	object	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti	tau225st	file_id
20220809	2	JCMTCAL	IRC+10216	IRC+10216 13CO(3-2) 330.588	USB	1	250MHzx8192	325.603940747	330.5879601	13-CO	3 - 2	0.059	a20220809_00002_01_0001.sdf
20220809	2	JCMTCAL	IRC+10216	IRC+10216 13CO(3-2) 330.588	USB	2	1000MHzx2048	325.603940747	330.5879601	13-CO	3 - 2	0.059	a20220809_00002_02_0001.sdf
20220809	2	JCMTCAL	IRC+10216	IRC+10216 13CO(3-2) 330.588	LSB	3	250MHzx8192	325.603940747	320.5888272914	No Line	No Line	0.059	a20220809_00002_03_0001.sdf
20220809	2	JCMTCAL	IRC+10216	IRC+10216 13CO(3-2) 330.588	LSB	4	1000MHzx2048	325.603940747	320.5888272914	No Line	No Line	0.059	a20220809_00002_04_0001.sdf
20220809	3	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	1	250MHzx8192	340.8126998662	345.7959899	CO	3 - 2	0.062	a20220809_00003_01_0001.sdf
20220809	3	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.8126998662	345.7959899	CO	3 - 2	0.062	a20220809_00003_02_0001.sdf
20220809	3	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.8126998662	335.7968570914	No Line	No Line	0.062	a20220809_00003_03_0001.sdf
20220809	3	JCMTCAL	IRC+10216	IRC+10216 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.8126998662	335.7968570914	No Line	No Line	0.062	a20220809_00003_04_0001.sdf
20220809	8	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7836122438	345.7959899	CO	3 - 2	0.078	a20220809_00008_01_0001.sdf
20220809	8	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7836122438	355.7959899	No Line	No Line	0.078	a20220809_00008_02_0001.sdf
20220809	9	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7836041207	345.7959899	CO	3 - 2	0.078	a20220809_00009_01_0001.sdf
20220809	9	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7836041207	355.7959899	No Line	No Line	0.078	a20220809_00009_02_0001.sdf
20220809	10	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835962071	345.7959899	CO	3 - 2	0.078	a20220809_00010_01_0001.sdf
20220809	10	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835962071	355.7959899	No Line	No Line	0.078	a20220809_00010_02_0001.sdf
20220809	11	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835882515	345.7959899	CO	3 - 2	0.052	a20220809_00011_01_0001.sdf
20220809	11	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835882515	355.7959899	No Line	No Line	0.052	a20220809_00011_02_0001.sdf
20220809	12	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835802812	345.7959899	CO	3 - 2	0.052	a20220809_00012_01_0001.sdf
20220809	12	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835802812	355.7959899	No Line	No Line	0.052	a20220809_00012_02_0001.sdf
20220809	13	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	350.7835722852	345.7959899	CO	3 - 2	0.061	a20220809_00013_01_0001.sdf
20220809	13	JCMTCAL	GL1922	Aweoweo Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	350.7835722852	355.7959899	No Line	No Line	0.061	a20220809_00013_02_0001.sdf
20220809	14	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	1	250MHzx8192	340.7724480014	345.7959899	CO	3 - 2	0.061	a20220809_00014_01_0001.sdf
20220809	14	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	USB	2	1000MHzx2048	340.7724480014	345.7959899	CO	3 - 2	0.061	a20220809_00014_02_0001.sdf
20220809	14	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	3	250MHzx8192	340.7724480014	335.7958564726	No Line	No Line	0.061	a20220809_00014_03_0001.sdf
20220809	14	JCMTCAL	16293-2422	16293-2422 12CO(3-2) 345.796	LSB	4	1000MHzx2048	340.7724480014	335.7958564726	No Line	No Line	0.061	a20220809_00014_04_0001.sdf
20220809	15	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	1	250MHzx8192	351.7099876816	356.734288	HCO+ v=0	4 - 3	0.061	a20220809_00015_01_0001.sdf
20220809	15	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	USB	2	1000MHzx2048	351.7099876816	356.734288	HCO+ v=0	4 - 3	0.061	a20220809_00015_02_0001.sdf
20220809	15	JCMTCAL	16293-2422	16293-2422 HCO(4-3) 356.7343	LSB	3	250MHzx8192	351.7099876816	346.7341545726	No Line	No Line	0.061	a20220809_00015_03_0001.sdf
