utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210722	3	JCMTCAL	RHya	a20210722_00003_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	3	JCMTCAL	RHya	a20210722_00003_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	4	JCMTCAL	RHya	a20210722_00004_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	4	JCMTCAL	RHya	a20210722_00004_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	5	JCMTCAL	RHya	a20210722_00005_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	5	JCMTCAL	RHya	a20210722_00005_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	6	JCMTCAL	RHya	a20210722_00006_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	6	JCMTCAL	RHya	a20210722_00006_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	7	JCMTCAL	RHya	a20210722_00007_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	7	JCMTCAL	RHya	a20210722_00007_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	8	JCMTCAL	RHya	a20210722_00008_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	8	JCMTCAL	RHya	a20210722_00008_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	9	JCMTCAL	GL1922	a20210722_00009_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	9	JCMTCAL	GL1922	a20210722_00009_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	10	JCMTCAL	GL1922	a20210722_00010_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	10	JCMTCAL	GL1922	a20210722_00010_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	11	JCMTCAL	GL1922	a20210722_00011_01_0001.sdf	Aweoweo Focus-Z (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	11	JCMTCAL	GL1922	a20210722_00011_02_0001.sdf	Aweoweo Focus-Z (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	12	JCMTCAL	GL1922	a20210722_00012_01_0001.sdf	Aweoweo Focus-Z (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210722	12	JCMTCAL	GL1922	a20210722_00012_02_0001.sdf	Aweoweo Focus-Z (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210722	13	JCMTCAL	16293-2422	a20210722_00013_01_0001.sdf	16293-2422 12CO(3-2) 345.796 LSB	LSB	1	250MHzx4096	345.7959899	CO	3 - 2
20210722	13	JCMTCAL	16293-2422	a20210722_00013_02_0001.sdf	16293-2422 12CO(3-2) 345.796 LSB	LSB	2	1000MHzx1024	345.7959899	CO	3 - 2
20210722	13	JCMTCAL	16293-2422	a20210722_00013_03_0001.sdf	16293-2422 12CO(3-2) 345.796 LSB	USB	3	250MHzx4096	357.7961500129	No Line	No Line
20210722	13	JCMTCAL	16293-2422	a20210722_00013_04_0001.sdf	16293-2422 12CO(3-2) 345.796 LSB	USB	4	1000MHzx1024	357.7961500129	No Line	No Line
20210722	14	JCMTCAL	16293-2422	a20210722_00014_01_0001.sdf	16293-2422 12CO(3-2) 345.796 USB	USB	1	250MHzx4096	345.7959899	CO	3 - 2
20210722	14	JCMTCAL	16293-2422	a20210722_00014_02_0001.sdf	16293-2422 12CO(3-2) 345.796 USB	USB	2	1000MHzx1024	345.7959899	CO	3 - 2
20210722	14	JCMTCAL	16293-2422	a20210722_00014_03_0001.sdf	16293-2422 12CO(3-2) 345.796 USB	LSB	3	250MHzx4096	333.7958297871	No Line	No Line
